,Catalog No.,Product,Imported Country,Other Info,Price,,Made in,Cruelty_free,Vegan,Ranking_In_Best_Seller_List,SunFilter_Ingredients
0,1112141029,REYENA16 - Daily UV Defense Sun Milk,South Korea,Translation reference for Korean beauty product packaging:,US$22.22,,,,,1,"[' ZINC OXIDE', ' TITANIUM DIOXIDE']"
1,1096470322,SAM'U - PH Sensitive Sun Cream,South Korea,Translation reference for Korean beauty product packaging:,US$18.58,,,,,2,"[' ETHYLHEXYL SALICYLATE', ' HOMOSALATE', ' BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE', ' METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL', ' POLYSILICONE-15', ' DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE']"
2,1063578220,ACSEINE - UV Protection AC,,,US$34.44,,Japan,,,3,[' TITANIUM OXIDE']
3,1105364416,Kose - Sekkisei Skincare UV Gel SPF 50+ PA++++ 90g,,,US$39.49,,Japan,Yes,,4,"[' ETHYLHEXYL METHOXYCINNAMATE', ' POLYSILICONE-15']"
4,1106584439,THANK YOU FARMER - Sun Project Silky Calming Sun Stick,South Korea,,US$39.49,,,,,5,"[' DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE', ' ETHYLHEXYL TRIAZONE', ' POLYSILICONE-15', ' BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE']"
5,1059907466,TROIAREUKE - ACSEN UV Protector Essence SPF50+ PA+++ 50ml,South Korea,,US$39.49,,,,,6,"[' ETHYLHEXYL METHOXYCINNAMATE', ' HOMOSALATE', ' ETHYLHEXYL SALICYLATE', ' BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE']"
6,1087790970,heme - Whitening & Moisturizing High UV Protect Gel SPF 50+ PA++++,,,US$14.14,,Taiwan,,,7,[' BUTYL METHOXYDIBENZOYLMETHANE']
8,1106167745,XOUL - UV Mild Suncream,South Korea,Translation reference for Korean beauty product packaging:,US$14.14,,,,,9,"[' ETHYLHEXYL TRIAZONE', ' TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID', ' DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE', ' POLYSILICONE-15', ' BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE']"
9,1057795167,KARADIUM - Snail Repair Sun Cream SPF50+ PA+++ 70ml,South Korea,,US$14.14,,,Yes,,10,"[' ETHYLHEXYL METHOXYCINNAMATE', ' ETHYLHEXYL SALICYLATE', ' ZINC OXIDE (CI 77947)', ' TITANIUM DIOXIDE (CI 77891)']"
10,1069644188,SCINIC - Enjoy All Round Airy Sun Stick SPF50+ PA++++ 25g,South Korea,,US$14.14,,South Korea,,,11,"[' OCTOCRYLENE', ' ETHYLHEXYL METHOXYCINNAMATE', ' DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE', ' ETHYLHEXYL SALICYLATE', ' BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE']"
11,1111620592,Kose - Maihada Skin Moisture UV Essence SPF 35 PA+++,,,US$14.14,,Japan,Yes,,12,"[' ZINC OXIDE', ' TITANIUM OXIDE']"
