Catalog No.,Product,Imported Country,Other Info,Price,Ingredients,Made in,Cruelty_free,Vegan,Ranking_In_Best_Seller_List
1112141029,REYENA16 - Daily UV Defense Sun Milk,South Korea,Translation reference for Korean beauty product packaging:,US$22.22,"Purified Water, Cyclohexasiloxane, Zinc Oxide, Butylene Glycol Dicaprylate/Dicaprate, Dicaprylyl Ether, Titanium Dioxide, Propanediol, Hamamelis Virginiana (Witch Hazel) Extract, Panthenol, Coccinia Indica Fruit Extract, Solanum Melongena (Eggplant) Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Ocimum Sanctum Leaf Extract, Corallina Officinalis Extract, Fragaria Vesca Fruit Extract, Nymphaea Alba Flower Extract, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Methyl Methacrylate Crosspolymer, Stearic Acid, Aluminum Hydroxide, Trehalose, Polyglyceryl-3 Oleate, 1,2-Hexanediol, Polymethylsilsesquioxane, Caprylic/Capric Triglyceride, Polyglyceryl-3 Oleate, Ethylhexylglycerin,Diisostearoyl Polyglyceryl-3 Dimer Dilinoleate, Amber Powder (Pinus succinifera), Moringa Oleifera Seed Oil, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate,Sodium Chloride, Calamine, Dipropylene Glycol, Tocopherol, Butylene Glycol, Sodium Palmitoyl Proline, Fructan, Glyceryl Caprylate/Caprate, Caprylyl Glycol, Fragrance",,,,1
1096470322,SAM'U - PH Sensitive Sun Cream,South Korea,Translation reference for Korean beauty product packaging:,US$18.58,"Water, Butylene Glycol, Alcohol, Ethylhexyl Salicylate, Homosalate, Dibutyl Adipate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Cyclopentasiloxane, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Polysilicone-15, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Viscum Album (Mistletoe) Leaf Extract, Centella Asiatica Extract, Portulaca Oleracea Extract, Laminaria Japonica Extract, Ulmus Davidiana Root Extract, Aloe Barbadensis Leaf Extract, Viola Mandshurica Flower Extract, Dioscorea Japonica Root Extract, Sodium Hyaluronate, Olea Europaea (Olive) Fruit Oil, Ceteth-10, Tromethamine, Decyl Glucoside, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Carbomer, Cetyl PEG/PPG-10/1 Dimethicone, Propanediol, Propylene Glycol, Xanthan Gum, Ethylhexylglycerin, Glycerin, 1,2-Hexanediol, Fructan, Astaxanthin, Lactobionic Acid, Fragrance, Phenoxyethanol",,,,2
1063578220,ACSEINE - UV Protection AC,,,US$34.44,"Cyclomethicone, water, titanium oxide, dimethicone, glycerin, polymethylmethacrylate, (vinyl dimethicone / methicone silsesquioxane) crosspolymer, PEG-9 dimethicone, acetylhydroxyproline, arginine, chitosan, glycolic acid, ascorbyl phosphate Mg , (Dimethicone / Vinyl Dimethicone) Crosspolymer, Na Chloride, Hydrolyzed Hydroponic Steel, Al Hydroxide, Glycotrehalose, Silica, Al Dimyristic Acid, Steric Acid, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Meticone, Tocopherol Acetate, Tocopherol, phenoxyethanol, methylparaben, ethylparaben, propylparaben, iron oxide",Japan,,,3
1105364416,Kose - Sekkisei Skincare UV Gel SPF 50+ PA++++ 90g,,,US$39.49,"Water, ethanol, ethylhexyl methoxycinnamate, PG dicaprate, polysilicone-15, hexyl diethylaminohydroxybenzoyl benzoate, BG, bisethylhexyloxyphenol methoxyphenyltriazine, glycerin, dimethicone, saccharomyces / honeybee seed fermented liquid, tenninka fruit extract, Touki root extract, tocopherol, merosria root extract, BHT, EDTA-2Na, PEG-30 phytosterol, PEG-5 phytosterol, (Acrylate / alkyl acrylate (C10-30)) crosspolymer, (dimethicone / phenylvinyldimethicone) crosspolymer , (Vinyl dimethicone / methicone silsesquioxane) Crosspolymer, carbomer, diphenylsiloxyphenyltrimethicone, lysine dilauroyl glutamate, squalane, glyceryl stearate, cetearyl alcohol, zeolite, talc, macadamia nut fatty acid phytosteryl, K hydroxide, Phenoxyethanol, methylparaben, fragrance, mica",Japan,Yes,,4
1106584439,THANK YOU FARMER - Sun Project Silky Calming Sun Stick,South Korea,,US$39.49,"Methyl Methacrylate Crosspolymer, Polyethylene, Caprylyl Methicone, Coco-Caprylate/Caprate, Ethylhexyl Palmitate, Isopropyl Palmitate, Dicaprylyl Carbonate, Synthetic Fluorphlogopite, Dibutyl Adipate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ozokerite, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Ethylhexyl Triazone, Vinyl Dimethicone, Polysilicone-15, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Centella Asiatica Extract, Glyceryl Caprylate, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Triethoxycaprylylsilane, Tocopherol, Calamine, Madecassic Acid, Asiaticoside, Asiatic Acid, Fragrance",,,,5
1059907466,TROIAREUKE - ACSEN UV Protector Essence SPF50+ PA+++ 50ml,South Korea,,US$39.49,"Purified Water, Ethylhexyl Methoxycinnamate, Homosalate, Ethylhexyl Salicylate, Pentylene Glycol, Methylpropandaol, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Caprylylmethicone, Tinanium Dioxide, Iso Nonylisononanoate, Ethylhexyltriazone, Lauryl Methacrylate/Glycol Dimethacrylate Crosspolymer, Cyclopentasiloxane, Sodium Acrylate/Sodium Acryloyldimethyltaurate Copolymer, Phenoxychanol, Ammonium Acryloyldimethyltaurate/Vpicopolymer, Tocopheryl Acetate, Sorbitan Isostatate, Fragrance, Allantoin, Poly Sorbate 80, Butylene Glycol, Sorbitan Oleate, Xanthan Gum, BHT, Polyglyceryl-3 Methylglucose Distearate, Biosicaride Gum-4, Sodium Hyaluronate, Aloe Vera Leaf Junice, Ethylhexyl Glycerin, Propylene Glycol, Hydrolyzed Xtensin, Niacinamide, Archaea Extract, Centella Extract, Potassium Sorbate, Sodium Benzoate, Glycerin, Cyanocobalamin, Biotin, Asco Bilglucoside, PEG-40 Hydrogenated Castor Oil, PEG-26-Butes-26, Caprylyl Glycol, 1-2-Hexanediol, Copper Tripeptide-1, Acetylhexypeptide-8",,,,6
1087790970,heme - Whitening & Moisturizing High UV Protect Gel SPF 50+ PA++++,,,US$14.14,"ETHYLHEXYL METHOXYCINNAMATE, BUTYL METHOXYDIBENZOYLMETHANE, BENZOPHENONE-3, WATER, TRANEXAMIC ACID, 1,3-BUTYLENE GLYCOL, PROPYLENE GLYCOL, POLYSORBATE 20, PHOSPHOLIPIDS, PHENOXYETHANOL, CARBOMER, HYDROXYACETOPHENONE, PARFUM, TRIETHANOLAMINE,CAPRYLYL GLYCOL, SODIUM HYALURONATE, GLYCYRRHIZA URALENSIS (LICORICE) ROOT EXTRACT, KALANCHOE SPATHULATA EXTRACT, ALOE BARBADENSIS LEAF EXTRACT, CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT",Taiwan,,,7
1106912434,avajar - Activity UV Protection Sun Patch Set,South Korea,,US$14.14,"Water, Glycerin, Sodium Polyacrylate, Dipropylene Glycol, Polyacrylic Acid, Agar, Polysorbate 80, Disodium EDTA, Aluminum Glycinate, Tocopheryl Acetate, Tartaric Acid, Propanediol, Benzyl Glycol, Hydrolyzed Glycosaminoglycans, Sodium Hyaluronate, Ethylhexylglycerin, Sodium Hyaluronate Crosspolymer, 1,2-Hexanediol, Hydrolyzed Hyaluronic Acid, Hydroxypropyltrimonium Hyaluronate, Hyaluronic Acid, Raspberry Ketone, Sodium Acetylated Hyaluronate, Centella Asiatica Leaf Extract, Adenosine, Fragrance, Cetyl Ethylhexanoate, Phenoxyethanol, Caffeine, Aloe Barbadensis Leaf Extract, Xanthan Gum, Methyl Diisopropyl Propionamide, Hydrolyzed Collagen, Butylene Glycol",,,,8
1106167745,XOUL - UV Mild Suncream,South Korea,Translation reference for Korean beauty product packaging:,US$14.14,"Water, Dibutyl Adipate, Propanediol, Alcohol Denat., Ethylhexyl Triazone, Terephthalylidene Dicamphor Sulfonic Acid, Glycerin, Niacinamide, Polyglyceryl-3 Distearate, Tromethamine, 1,2-Hexanediol, Pentylene Glycol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Cetearyl Alcohol, Caprylyl Methicone, Polysilicone-15, Centella Asiatica Extract, Houttuynia Cordata Extract, Lavandula Angustifolia (Lavender) Oil, Pelargonium Graveolens Flower Oil, Caprylic/Capric/Succinic Triglyceride, Palmitic Acid, Glyceryl Stearate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Potassium Cetyl Phosphate, Polymethylsilsesquioxane, Stearic Acid, Methylpropanediol, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Silica, Polyacrylate Crosspolymer-6, Glyceryl Stearate Citrate, Ethylhexylglycerin, Adenosine, Sodium Polyacrylate, Polyether-1, Myristic Acid, T-Butyl Alcohol, Biosaccharide Gum-1, Tocopherol, Butylene Glycol, Calamine, Linalool, Citronellol, Limonene, Geraniol",,,,9
1057795167,KARADIUM - Snail Repair Sun Cream SPF50+ PA+++ 70ml,South Korea,,US$14.14,"Water, Cyclopentasiloxane, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Zinc Oxide (CI 77947), Dipropylene Glycol, Glycerin, PEG-10 Dimethicone, Titanium Dioxide (CI 77891), Niacinamide, Dicaprylyl Carbonate, Mica (CI 77019), Disteardimonium Hectorite, Snail Secretion Filtrate, Cereus Grandiflorus (Cactus) Extract, Aloe Barbadensis (Aloe Vera) Leaf Juice, Magnesium Sulfate, Dimethicone, Silica, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Aluminum Hydroxide, Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Stearate, Methicone, Glyceryl Caprylate, Butylene Glycol, Caprylyl Glycol, Polyglyceryl-6 Polyricinoleate, Triethoxycaprylylsilane, Adenosine, Hydrolyzed Glycosaminoglycans, Glyceryl Polymethacrylate, Propylene Glycol, Fragrance, Phenoxyethanol, Yellow Iron Oxide (CI 77492), Red Iron Oxide (CI 77491), Black Iron Oxide (CI 77499)",,Yes,,10
